policy,T,phi_scan_index,phi,phi_over_pi,w_loc3_ABB,w_loc5_ABB,primary_mask_from_scan,sensitivity_mask_from_scan
scaled,3000,62,1.8173240836390956,0.5784722222222222,0.16194373349519078,0.18688086552903332,0,0
scaled,3000,63,1.820596575986585,0.5795138888888889,0.16817498184757182,0.19399249614016834,0,0
scaled,3000,64,1.8238690683340744,0.5805555555555556,0.17472912539398425,0.2014014748153939,0,0
scaled,3000,65,1.8271415606815637,0.5815972222222222,0.18159069834506172,0.20909029208503657,0,0
scaled,3000,66,1.8304140530290531,0.5826388888888889,0.18867537214911423,0.21699118487215646,0,0
scaled,3000,67,1.8336865453765425,0.5836805555555555,0.195932453621561,0.22504736285317398,0,0
scaled,3000,68,1.836959037724032,0.5847222222222223,0.2033811581525238,0.23325493402458677,0,0
scaled,3000,69,1.8402315300715213,0.585763888888889,0.21106236777357995,0.24164450560669065,0,0
scaled,3000,70,1.8435040224190107,0.5868055555555556,0.21898232410418172,0.25022228678622355,0,0
scaled,3000,71,1.8467765147665,0.5878472222222223,0.2270817281070931,0.25892052667107046,0,0
scaled,3000,72,1.8500490071139895,0.5888888888888889,0.2352407551986954,0.2676120129975852,0,0
scaled,3000,73,1.8533214994614788,0.5899305555555556,0.24333006345779215,0.2761960480651263,0,0
scaled,3000,74,1.856593991808968,0.5909722222222222,0.2513233245777914,0.28470349198370465,0,0
scaled,3000,75,1.8598664841564574,0.5920138888888888,0.25938207731468943,0.2933091590442614,0,0
scaled,3000,76,1.8631389765039468,0.5930555555555556,0.26774438212655816,0.30217488864666764,0,0
scaled,3000,77,1.8664114688514362,0.5940972222222223,0.276470246625779,0.31125049849722153,0,0
scaled,3000,78,1.8696839611989255,0.5951388888888889,0.2853131273115209,0.3202683665887091,0,0
scaled,3000,79,1.872956453546415,0.5961805555555556,0.29390838666585245,0.32898871292037996,0,0
scaled,3000,80,1.8762289458939043,0.5972222222222222,0.3021570743637439,0.33745452298471035,0,0
scaled,6000,0,1.6144295580947547,0.5138888888888888,0.3290978359068874,0.3508048448126904,0,0
scaled,6000,1,1.6177020504422441,0.5149305555555556,0.3261200888369442,0.34814988672219477,0,0
scaled,6000,2,1.6209745427897335,0.5159722222222222,0.32306109320789533,0.3454173477376926,0,0
scaled,6000,3,1.624247035137223,0.5170138888888889,0.3199114642593845,0.3425994733876776,0,0
scaled,6000,4,1.6275195274847123,0.5180555555555556,0.3166642156309287,0.3396931988032689,0,0
scaled,6000,5,1.6307920198322017,0.5190972222222222,0.31330762178658805,0.33668724094381686,0,0
scaled,6000,6,1.634064512179691,0.5201388888888889,0.3098370436451409,0.33357791879795845,0,0
scaled,6000,7,1.6373370045271802,0.5211805555555555,0.3062473166807481,0.33035669690340547,0,0
scaled,6000,8,1.6406094968746696,0.5222222222222221,0.30253740455841516,0.3270207240501506,0,0
scaled,6000,9,1.643881989222159,0.5232638888888889,0.29869639468268167,0.32355290404680176,0,0
scaled,6000,10,1.6471544815696484,0.5243055555555556,0.29472543737282864,0.31995442307463173,0,0
scaled,6000,11,1.6504269739171378,0.5253472222222222,0.2906079632130483,0.3162078285408076,0,0
