label,sequence,phi,phi_over_pi,policy,metric_name,n_points,T_min,T_max,limit_estimate_deg1,rmse_deg1,limit_estimate_deg2,rmse_deg2
pp_primary_left_T6000,ABB,1.733178845836952,0.5516879611545139,fixed,deltaP_late_mean,6,3000,12000,0.32224705692917094,4.4691824074265996e-05,0.3222244495950873,4.452254424208225e-05
pp_primary_left_T6000,ABB,1.733178845836952,0.5516879611545139,fixed,w_loc3,6,3000,12000,0.1017107824870767,0.00021684420034127197,0.10292044630327299,6.150527742412252e-05
pp_primary_left_T6000,ABB,1.733178845836952,0.5516879611545139,fixed,w_loc5,6,3000,12000,0.11800625829832248,0.00028622869150605844,0.11960474764675677,8.015269164712502e-05
pp_primary_left_T6000,ABB,1.733178845836952,0.5516879611545139,fixed,P0bar,6,3000,12000,0.02361169912515827,5.3115377120272926e-05,0.02390705131293383,1.560790180318941e-05
pp_primary_left_T6000,ABB,1.733178845836952,0.5516879611545139,scaled,v_fit,6,3000,12000,0.09138974803739848,1.5109752783935152e-05,0.0913106041570281,6.574008954334498e-06
pp_primary_left_T6000,ABB,1.733178845836952,0.5516879611545139,scaled,deltaP_late_mean,6,3000,12000,0.3226790551746453,0.0002817462190191911,0.32132225533228925,0.00015806387931102323
pp_primary_left_T6000,ABB,1.733178845836952,0.5516879611545139,scaled,w_loc3,6,3000,12000,0.10440207842697924,0.000381899696411667,0.10299794477631141,0.0002959544279782128
pp_primary_left_T6000,ABB,1.733178845836952,0.5516879611545139,scaled,w_loc5,6,3000,12000,0.12158006021623241,0.0005032120544479653,0.11968585507576207,0.0003836672133186655
pp_primary_left_T6000,ABB,1.733178845836952,0.5516879611545139,scaled,P0bar,6,3000,12000,0.024253265929151502,9.054425226966273e-05,0.024008704112619635,8.019306489206188e-05
pp_primary_right_T6000,A,1.7740083011411747,0.5646843804253472,fixed,v_fit,6,3000,12000,-0.0599589848711385,1.379610036516356e-09,-0.05995899286252746,1.2752733606116195e-10
pp_primary_right_T6000,A,1.7740083011411747,0.5646843804253472,fixed,deltaP_late_mean,6,3000,12000,-0.07461896717474481,5.309493131193143e-09,-0.07461893825629139,1.8653828551903244e-09
pp_primary_right_T6000,A,1.7740083011411747,0.5646843804253472,fixed,w_loc3,6,3000,12000,0.6283971713105803,1.246661807938516e-08,0.6283970988268156,4.1196244613511723e-10
pp_primary_right_T6000,A,1.7740083011411747,0.5646843804253472,fixed,w_loc5,6,3000,12000,0.6446595011289037,1.6351252064802713e-09,0.64465949166218,1.5967369356972828e-10
pp_primary_right_T6000,A,1.7740083011411747,0.5646843804253472,fixed,P0bar,6,3000,12000,0.21063042361272588,2.776254577496125e-07,0.21063203853460205,3.6291812995661935e-09
pp_primary_right_T6000,A,1.7740083011411747,0.5646843804253472,scaled,v_fit,6,3000,12000,-0.05995899313951054,6.047125995614124e-10,-0.0599589966141724,9.447395503846315e-11
pp_primary_right_T6000,A,1.7740083011411747,0.5646843804253472,scaled,deltaP_late_mean,6,3000,12000,-0.07461898902871977,2.8324043155470604e-08,-0.0746188591476597,1.742952586473783e-08
pp_primary_right_T6000,A,1.7740083011411747,0.5646843804253472,scaled,w_loc3,6,3000,12000,0.6283983110531822,1.2061823187788095e-06,0.628397107702042,1.188312830886973e-06
pp_primary_right_T6000,A,1.7740083011411747,0.5646843804253472,scaled,w_loc5,6,3000,12000,0.6446596437946502,1.4687286772443807e-07,0.6446594863119889,1.4435651438147085e-07
pp_primary_right_T6000,A,1.7740083011411747,0.5646843804253472,scaled,P0bar,6,3000,12000,0.2106037535666663,2.8415833020247977e-05,0.21063146438816555,2.8013733637336012e-05
pp_primary_right_T6000,B,1.7740083011411747,0.5646843804253472,fixed,v_fit,6,3000,12000,-0.011149599562845586,3.060904637850432e-07,-0.011150995796477168,1.899650660748982e-07
pp_primary_right_T6000,B,1.7740083011411747,0.5646843804253472,fixed,deltaP_late_mean,6,3000,12000,-0.03391489120828624,0.000156433729492008,-0.03459855696126099,0.00010324916191513137
pp_primary_right_T6000,B,1.7740083011411747,0.5646843804253472,fixed,w_loc3,6,3000,12000,0.9200107507053977,4.260216442181149e-10,0.9200107483787815,1.4677186923354893e-10
pp_primary_right_T6000,B,1.7740083011411747,0.5646843804253472,fixed,w_loc5,6,3000,12000,0.9203192119756446,9.76789456880986e-10,0.920319217656479,2.2789458187318132e-11
pp_primary_right_T6000,B,1.7740083011411747,0.5646843804253472,fixed,P0bar,6,3000,12000,0.4237604321189726,5.584682130439125e-07,0.4237636806872695,7.17014692731894e-09
pp_primary_right_T6000,B,1.7740083011411747,0.5646843804253472,scaled,v_fit,6,3000,12000,-0.011152316086620848,1.848970436647643e-06,-0.011159052115395819,1.4415052581406315e-06
pp_primary_right_T6000,B,1.7740083011411747,0.5646843804253472,scaled,deltaP_late_mean,6,3000,12000,-0.03310845651073135,0.0004525475453504506,-0.03506634784215071,0.0003025365189983852
pp_primary_right_T6000,B,1.7740083011411747,0.5646843804253472,scaled,w_loc3,6,3000,12000,0.9200107812465101,3.482375883229337e-08,0.9200107547735439,3.4525147046255527e-08
pp_primary_right_T6000,B,1.7740083011411747,0.5646843804253472,scaled,w_loc5,6,3000,12000,0.9203192158134694,7.233752105802661e-10,0.9203192193730485,3.858359523742771e-10
pp_primary_right_T6000,B,1.7740083011411747,0.5646843804253472,scaled,P0bar,6,3000,12000,0.42370676199623847,5.7169081787740616e-05,0.42376255388384687,5.6358903688811673e-05
pp_primary_right_T6000,ABB,1.7740083011411747,0.5646843804253472,fixed,v_fit,6,3000,12000,0.08417163093288518,5.576235843777553e-06,0.08420271092241993,1.597241599699778e-06
pp_primary_right_T6000,ABB,1.7740083011411747,0.5646843804253472,fixed,deltaP_late_mean,6,3000,12000,0.2638350541729273,5.9457840211810354e-05,0.2640681373700178,4.39307262956839e-05
pp_primary_right_T6000,ABB,1.7740083011411747,0.5646843804253472,fixed,w_loc3,6,3000,12000,0.1001949120879497,2.3232678377414763e-05,0.10028404073212048,1.7464918762441182e-05
pp_primary_right_T6000,ABB,1.7740083011411747,0.5646843804253472,fixed,w_loc5,6,3000,12000,0.11377607567273357,3.0422642813349964e-05,0.11389747957814134,2.2136365282877306e-05
pp_primary_right_T6000,ABB,1.7740083011411747,0.5646843804253472,fixed,P0bar,6,3000,12000,0.01997398152323678,2.2970246337468434e-06,0.019980748715795908,1.98069012857945e-06
pp_primary_right_T6000,ABB,1.7740083011411747,0.5646843804253472,scaled,v_fit,6,3000,12000,0.08423064264420148,2.9217116315971945e-05,0.08411068581930893,2.0698837053624403e-05
pp_primary_right_T6000,ABB,1.7740083011411747,0.5646843804253472,scaled,deltaP_late_mean,6,3000,12000,0.26395089965493446,0.0003237143825514677,0.2647288463844909,0.00029480158445202977
pp_primary_right_T6000,ABB,1.7740083011411747,0.5646843804253472,scaled,w_loc3,6,3000,12000,0.10019688168936601,0.00013712955600567392,0.10059128259806718,0.00011919782862468915
pp_primary_right_T6000,ABB,1.7740083011411747,0.5646843804253472,scaled,w_loc5,6,3000,12000,0.11378647452456826,0.00017330852564796174,0.11427964262038616,0.0001511592408436857
pp_primary_right_T6000,ABB,1.7740083011411747,0.5646843804253472,scaled,P0bar,6,3000,12000,0.01996865752943865,1.1882982096544211e-05,0.019994050540019154,1.1052238929912786e-05
