phi_index,phi,phi_over_pi,v_fit_A,v_fit2_A,v_T_A,delta_v_A,stable_A,v_fit_B,v_fit2_B,v_T_B,delta_v_B,stable_B,v_fit_ABB,v_fit2_ABB,v_T_ABB,delta_v_ABB,stable_ABB,adv_v,deltaP_late_mean_ABB,deltaP_final_ABB,w_loc3_ABB,w_loc5_ABB,P0bar_ABB,strict,win_ABB,pp_primary,pp_sensitivity,mismatch_sign
20,1.7453292519943295,0.5555555555555556,-0.059788871728756944,-0.05979423148618138,-0.0597650818362956,5.8270042861893745e-06,1,-0.012421587127406567,-0.016659500715753044,-0.011396568526418353,0.003538461434351896,1,0.08754665182895759,0.08717780801373662,0.08881008112617111,0.001415867376809099,1,0.09996823895636416,0.30407787419928317,0.2630743089714065,0.10664138363710993,0.13082946989108818,0.023399834599169028,1,1,0,1,0
21,1.832595714594046,0.5833333333333333,-0.06026855105539692,-0.0602740020244743,-0.06024909868625012,1.3101574189891552e-05,1,-0.010754378687213469,-0.01283381606473038,-0.010234462235138127,0.003856859178058175,1,0.07698926136360208,0.07855648661895573,0.07756220327103236,0.0015197454847946795,1,0.08774364005081556,0.14116907807746792,0.16911574739349955,0.17974175791019634,0.2146031953567061,0.02953481310900191,1,1,0,0,0
22,1.9198621771937625,0.6111111111111112,-0.060624396601195146,-0.06064198259431617,-0.06060340978031967,2.078714426015371e-05,1,-0.009272699229301944,-0.0090505805901726,-0.009375168937423652,0.0038086163702812197,1,0.08582002434769175,0.08329972750989201,0.07898933188089452,0.0016921851333938642,1,0.09509272357699369,0.39592544488553105,0.3207243440857733,0.42043449762842805,0.46073206635007763,0.09037373957102518,1,1,0,0,0
23,2.007128639793479,0.6388888888888888,-0.06080791051836203,-0.06080639034346315,-0.06077304319691381,3.0488071250493742e-05,1,-0.008066679766814838,-0.005951953945187501,-0.008735938002441861,0.003902892264449849,1,0.08247532850873063,0.08213602446474792,0.08120087598974648,0.0019586399516602626,1,0.09054200827554547,0.4870947551215705,0.2956280329703374,0.5452099077582042,0.575406160600209,0.1334858370106618,0,1,0,0,0
24,2.0943951023931953,0.6666666666666666,-0.06077079706357607,-0.06071231918542663,-0.06075532806986622,4.488547793031483e-05,1,-0.007140162420516672,-0.0037073732291168678,-0.008245544534519597,0.003675878004105104,0,0.08723508993014721,0.08364069992357033,0.08184571810745687,0.0023747546114090134,1,0.09437525235066388,0.5694249972587856,0.30248917455830643,0.623222155306932,0.6468199341902217,0.1679359678278305,0,1,0,0,0
25,2.1816615649929116,0.6944444444444444,-0.060446401534582424,-0.06037722026062409,-0.060496032854980536,0.00014856718544412756,1,-0.006455224659029996,-0.0022368308624960477,-0.007854496480262076,0.0037883062627932767,0,0.08407384151583056,0.08505978203924695,0.08053204063139965,0.004106923285056047,1,0.09052906617486055,0.5768609270328767,0.6935975536151184,0.6728093904875289,0.6938829786398171,0.18621760991856878,0,1,0,0,0
26,2.2689280275926285,0.7222222222222222,-0.05969544072708076,-0.059814031840755684,-0.05988697634489895,0.0002878122499705635,1,-0.005961162719387149,-0.0013731466789618544,-0.0075318982413089125,0.0036719735847057598,0,0.07543834896558567,0.07262801081254779,0.06908217688127713,0.003160276903956108,1,0.08139951168497282,0.5623938155307132,0.24576564934480172,0.708447566159548,0.7278517105211137,0.2043024737298298,0,1,0,0,0
27,2.356194490192345,0.75,-0.05879398268423515,-0.05913441732736945,-0.059043973763542895,0.0004124580777140341,1,-0.005610198168978629,-0.0009462434488447624,-0.007259571183631019,0.003435584401122127,0,0.06202267378004717,0.06292300187645991,0.05993144095314449,0.0032678547359324545,1,0.0676328719490258,0.5382034059202113,0.5334971662984255,0.733158639776239,0.7528875818362015,0.21522971735565705,0,1,0,0,0
28,2.443460952792061,0.7777777777777778,-0.05786757564956489,-0.057588821331233254,-0.05800891311889283,0.00037872782943067923,1,-0.00536344876913712,-0.000808399772126285,-0.007027121441598586,0.003542570326909103,0,0.048743060672064645,0.04683421042725333,0.04826983586073746,0.0039008231581652564,1,0.05410650944120177,0.5230978773868553,0.65789228217835,0.7489712394881718,0.7705294087549123,0.21707864530367393,0,1,0,0,0
29,2.5307274153917776,0.8055555555555555,-0.056804412935050654,-0.0567076549149479,-0.05673743890474216,0.0005183944757382181,1,-0.005191166310825953,-0.0008482797267539754,-0.006828618833010679,0.0035856555329396647,0,0.03463784307477485,0.03965856527630437,0.033090219254052415,0.0029117208007647666,1,0.0398290093856008,0.4995375775852489,0.31199394070760195,0.7541184527536983,0.7794017595261584,0.22096738047509107,0,1,0,0,0
